          16	       13691 
          32	       28122 
          64	       48744 
         128	      184254 
         256	      980641 
         512	      781401 
        1024	     1456731 
        2048	     2512977 
        4096	     7966871 
        8192	    27358336 
       16384	   102602240 
       32768	   428630925 
       65536	  1593965719 
      131072	  6417866763 
